"video_id","name"
"6373836786112","25-06-03 Beyond the Pitch, The MLS Journey to Creating a Soccer Nation"
"6369062986112","25-02-19 Strategic Deterrence and the U.S. Air Force Bomber Force"
"6367589483112","FPC Event"
"6367589294112","FPC Event"
"6355776511112","Washington Foreign Press Center Briefing ""UN Cybercrimes Treaty Negotiations"""
"6357110700112","Washington Foreign Press Center Briefing ""Ambassador Michael Carpenter Previews NATO Summit 2024"""
"6358425153112","Washington Foreign Press Center Briefing on the ""Americas Partnership Ministerial"""
"6349769115112","Washington Foreign Press Center Briefing on Election Briefing Series: Campaign Finance in U.S. Elections"
"6366161645112","matthew_miller_briefs_foreign_press_on_key_developments_and_administration_highlights (1080p)"
"6294000803001","Foreign Press Center Briefing on ""Understanding the America Voter in 2022."
"6297673967001","Foreign Press Center Briefing on the ""Wall Street Series: 2022 Outlook with Interactive Brokers"""
"6299406132001","Foreign Press Center Briefing on the ""Election 2022: Early Insights from Gallup"""
"6304524591001","Washington Foreign Press Briefing on Election 2022: Religious Beliefs & Political Participation."
"6304527926001","Washington Foreign Press Briefing on Election 2022: Religious Beliefs & Political Participation."
"6308344462112","Foreign Press Center Briefing on ""World Refugee Day 2022 with the Assistant Secretary for Population, Migration and Refugees Noyes"""
"6309991260112","Foreign Press Center Briefing on ""2022 U.S. Midterm Elections: Latino Voters"
"6311758812112","Foreign Press Center Briefing on the ""2022 U.S. Midterm Elections: Education as a Voter Priority"
"6313422188112","Foreign Press Center Briefing on the ""U.S. 2022 Midterm Elections: The Latest Data from the Quinnipiac University Poll"""
"6313427721112","Foreign Press Center Briefing on the ""U.S. 2022 Midterm Elections: Voting Rights"""
"6314063982112","Foreign Press Center Briefing on the ""U.S. Midterm Elections 2022: Race and Voter Mobilization"""
"6314127765112","Foreign Press Center Briefing on the ""U.S. Midterm Elections 2022: Race and Voter Mobilization"""
"6314401179112","New York Foreign Press Center briefing on the 2022 U.S. Midterm Elections: Battleground States and Key Races to Watch"
"6316751629112","Washington Foreign Press Center on-the-record hybrid briefing by NSC Senior Director for Democracy Rob Berschinski to preview the upcoming Summit for Democracy on March 29-30, 2023 on December 7, 2022."
"6366190082112","24-12-18 Previewing Secretary Blinken's Meetings at the United Nations, Price"
"6366071930112","24-12-16 U.S. Priorities in the Western Hemisphere, Nichols"
"6365958142112","24-12-13 Pete Buttigieg, U.S. Secretary of Transportation"
"6365486803112","24-12-03 LTG-United States Priorities During Presidency of UN Security Council"
"6365060091112","GMT20241122-163218_Recording_avo_1280x720"
