video_id,title,filename,created_at
6318189218112,U.S. Strategy on Global Women’s Economic Security ,6318189218112.mp4,01/04/2023
6318199355112,Washington Foreign Press Center Briefing on the launch of the U.S. Strategy for Women's Economic Security,6318199355112.mp4,01/04/2023
1367740301001,Readout of the Iowa Caucuses; Latest Polls on the Upcoming New Hampshire Primary; and the State of the Obama Re-Election Campaign,1367740301001.mp4,01/05/2012
6318295575112,"Washington Foreign Press Center Briefing on the ""U.S. Foreign Policy Update""",6318295575112.mp4,01/06/2023
60859101001,Secretary Clinton's Visit to the Pacific,60859101001.mp4,01/07/2010
60833815001,Role of the International Network of SRAPs,60833815001.mp4,01/07/2010
6793452001,Launch of Electronic System for Travel Authorization (ESTA),6793452001.mp4,01/09/2009
1377195770001,The Defense Strategy Review and Europe,1377195770001.mp4,01/09/2012
6121529729001,"Washington Foreign Press Center Briefing on ""Cyber Successes: Highlights of 2019 and Look Ahead to 2020",6121529729001.mp4,01/10/2020
61302988001,Sudan: The Fifth Anniversary of the Comprehensive Peace Agreement,61302988001.mp4,01/11/2010
746491426001,An Update on the Referendum Vote for Independence in Southern Sudan,746491426001.mp4,01/11/2011
746342493001,Southern Sudan Referendum Update,746342493001.mp4,01/11/2011
6221962655001,"Foreign Press Center Briefing on the ""Understanding America: The Legacy of Martin Luther King""",6221962655001.mp4,01/11/2021
6344693588112,Foreign Press Center Briefing on “Overview of U.S. Migration Policy.,6344693588112.mp4,01/11/2024
747311876001,U.S. National Security Strategy Update,747311876001.mp4,01/12/2011
6318569708112," Washington Foreign Press Center Briefing on the ""Fusion Ignition Breakthrough""  ",6318569708112.mp4,01/12/2023
7048165001,Media Opportunities at Non-Official Inauguration Events,7048165001.mp4,01/13/2009
749174276001,U.S. Government Efforts to Combat Intellectual Property Theft,749174276001.mp4,01/13/2011
4702575592001,How U.S. Presidential Hopefuls Are Using Social Media,4702575592001.mp4,01/13/2016
4702421206001,The Obama Administration's 2016 Foreign Policy Priorities,4702421206001.mp4,01/13/2016
61707646001,Haiti: Situation Brief and Relief Efforts,61707646001.mp4,01/14/2010
61761174001,Haiti Update,61761174001.mp4,01/14/2010
7404074001,Historical Perspectives on Inaugural Swearing in Ceremony,7404074001.mp4,01/15/2009
61897437001,Haiti: Daily Update Brief,61897437001.mp4,01/15/2010
61904741001,U.S. Coast Guard Efforts to Provide Earthquake Relief to Haiti,61904741001.mp4,01/15/2010
3991298575001,Preview of the 2015 SelectUSA Investment Summit and Review of the White House Executive Investment Roundtable With Swiss Business Leaders,3991298575001.mp4,01/15/2015
6122969699001,"Foreign Press Center Briefing on the ""America as the Security Partner of Choice:"" Highlights of 2019 and a look Ahead to 2020""",6122969699001.mp4,01/15/2020
2098899595001,Media Coverage of Official Events of the 57th Presidential Inauguration,2098899595001.mp4,01/16/2013
